CODIGO,nombre,CATEGORIA,FECHA_INSTALACION,altitud,latitud,longitud,FECHA_SUSPENSION,ENTIDAD
26087140,MEDIACANOA  [26087140],Limnimétrica,1971-09-15 00:00:00,942.0,3.88961111,-76.34997222000001,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087150,PTE GARCES  [26087150],Limnimétrica,1972-01-15 00:00:00,957.0,4.08333333,-76.35,1991-01-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087160,GARZONERO NORTE  [26087160],Limnimétrica,1985-04-15 00:00:00,933.0,4.01666667,-76.3,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087170,BUITRERA LA  [26087170],Limnimétrica,1986-05-15 00:00:00,1500.0,3.58333333,-76.56666666999999,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087180,SALONICA  [26087180],Limnigráfica,1992-05-15 00:00:00,1150.0,4.13333333,-76.36666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087190,CALAMAR - LA PEÑA - AUT [26087190],Pluviográfica,2017-06-30 19:00:00,1483.0,4.32111389,-76.25881111,,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26087200,PLATANARES - PTE EL INDIO - AUT [26087200],Climática Ordinaria,2017-06-30 19:00:00,1474.0,4.33901389,-76.26067499999999,,CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090010,FERROCARRIL  [26090010],Pluviométrica,1922-01-15 00:00:00,969.0,3.9,-76.31666666999999,1927-01-15 00:00:00,MINISTERIO DE LA ECONOMIA
26090020,COL ACADEMICO  [26090020],Pluviométrica,1930-01-15 00:00:00,1010.0,3.9166666699999997,-76.31666666999999,1934-10-15 00:00:00,MINISTERIO DE AGRICULTURA
26090030,FERROCARRIL  [26090030],Pluviométrica,1932-01-15 00:00:00,1000.0,3.68333333,-76.33333332999999,1934-01-15 00:00:00,FERROCARRILES NACIONALES
26090040,COSTA RICA  [26090040],Pluviométrica,1952-01-15 00:00:00,1118.0,3.71666667,-76.2,1954-05-15 00:00:00,FEDERACION NACIONAL DE CAFETEROS
26090050,MAGDALENA LA  [26090050],Pluviométrica,1968-12-15 00:00:00,1360.0,3.86666667,-76.21666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090060,JUNTAS LAS [26090060],Pluviométrica,1975-03-15 00:00:00,1826.0,3.77322222,-76.16555556,,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
26090070,SAN EMIGDIO  [26090070],Pluviométrica,1964-12-15 00:00:00,1272.0,3.55,-76.2,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090080,SAN RAFAEL  [26090080],Pluviométrica,1960-01-15 00:00:00,965.0,3.81666667,-76.31666666999999,,ESTACIONES PARTICULARES
26090090,PACORA  [26090090],Pluviométrica,1942-06-15 00:00:00,1810.0,3.56666667,-76.26666666999999,,ESTACIONES PARTICULARES
26090100,ESMERALDA LA  [26090100],Pluviométrica,1960-01-15 00:00:00,968.0,3.7666666699999998,-76.25,1965-02-15 00:00:00,ESTACIONES PARTICULARES
26090110,JULIA LA  [26090110],Pluviométrica,1960-01-15 00:00:00,1100.0,3.8,-76.3,1964-12-15 00:00:00,ESTACIONES PARTICULARES
26090120,GONZALEZ HDA  [26090120],Pluviométrica,1960-01-15 00:00:00,1100.0,3.8,-76.3,1965-02-15 00:00:00,ESTACIONES PARTICULARES
26090130,BUGA-IFA  [26090130],Pluviométrica,1961-01-15 00:00:00,1000.0,3.88333333,-76.28333332999999,1961-09-15 00:00:00,INSTITUTO DE FOMENTO ALGODONERO
26090140,SAN LORENZO  [26090140],Pluviométrica,1960-01-15 00:00:00,982.0,3.75,-76.35,,ESTACIONES PARTICULARES
26090150,PICHICHI  [26090150],Pluviométrica,1960-01-15 00:00:00,1029.0,3.78333333,-76.28333332999999,,ESTACIONES PARTICULARES
26090160,PALMA 2 LA  [26090160],Pluviométrica,1964-01-15 00:00:00,1380.0,3.71666667,-76.25,,ESTACIONES PARTICULARES
26090170,LLOREDA  [26090170],Pluviométrica,1960-01-15 00:00:00,1035.0,3.7666666699999998,-76.28333332999999,,ESTACIONES PARTICULARES
26090180,ING LA SIBERIA  [26090180],Pluviométrica,1964-01-15 00:00:00,1017.0,3.75,-76.25,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090190,PORVENIR  [26090190],Pluviométrica,1960-09-15 00:00:00,1103.0,3.61666667,-76.25,,ESTACIONES PARTICULARES
26090200,ARGELIA  [26090200],Pluviométrica,1964-01-15 00:00:00,940.0,3.61666667,-76.43333333,,ESTACIONES PARTICULARES
26090210,SAMARIA  [26090210],Pluviométrica,1964-01-15 00:00:00,1025.0,3.61666667,-76.28333332999999,,ESTACIONES PARTICULARES
26090220,PIE DE CHINCHE  [26090220],Pluviométrica,1964-01-15 00:00:00,1030.0,3.63333333,-76.21666667,,ESTACIONES PARTICULARES
26090230,SAN RAFAEL 2  [26090230],Pluviométrica,1964-01-15 00:00:00,950.0,3.83333333,-76.31666666999999,,ESTACIONES PARTICULARES
26090240,REFORMA LA  [26090240],Pluviométrica,1966-02-15 00:00:00,1100.0,3.7,-76.23333333,,ESTACIONES PARTICULARES
26090250,SOLEDAD OCHOAS  [26090250],Pluviométrica,1966-03-15 00:00:00,966.0,3.73333333,-76.31666666999999,,ESTACIONES PARTICULARES
26090260,GUACHARACAL  [26090260],Pluviométrica,1964-01-15 00:00:00,1000.0,3.8,-76.3,,ESTACIONES PARTICULARES
26090270,PALMA 1 LA  [26090270],Pluviométrica,1964-01-15 00:00:00,1300.0,3.7,-76.25,,ESTACIONES PARTICULARES
26090280,CEIBOS LOS  [26090280],Pluviométrica,1965-01-15 00:00:00,950.0,3.81666667,-76.36666667,,ESTACIONES PARTICULARES
26090290,ARAUCA  [26090290],Pluviométrica,1968-08-15 00:00:00,987.0,3.63333333,-76.26666666999999,,ESTACIONES PARTICULARES
26090300,TENJO  [26090300],Pluviométrica,1969-08-15 00:00:00,1500.0,3.5166666699999998,-76.16666667,,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090310,PATO EL  [26090310],Pluviométrica,1969-08-15 00:00:00,3800.0,3.48333333,-76.08333332999999,1983-06-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090320,CUERVOS LOS  [26090320],Pluviométrica,1969-09-15 00:00:00,2620.0,3.5,-76.1,1982-08-15 00:00:00,CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
26090330,SAN FELIPE  [26090330],Pluviométrica,1968-03-15 00:00:00,980.0,3.85,-76.3,,ESTACIONES PARTICULARES
